run,variant,threshold,precision,recall,f1,accuracy,tp,fp,fn,tn,rows
run_19,suffix_only,0.9550000000000001,0.9998938434926631,0.9594811779416207,0.9792707493725614,0.9797770489141377,16662306,1769,703648,17514278,34882001
run_20,suffix_only,0.9580000000000001,0.9998938434926631,0.9594811779416207,0.9792707493725614,0.9797770489141377,16662306,1769,703648,17514278,34882001
run_21,suffix_only,0.9560000000000001,0.9998938434926631,0.9594811779416207,0.9792707493725614,0.9797770489141377,16662306,1769,703648,17514278,34882001
run_22,suffix_only,0.9570000000000001,0.9998938434926631,0.9594811779416207,0.9792707493725614,0.9797770489141377,16662306,1769,703648,17514278,34882001
run_23,suffix_only,0.9570000000000001,0.9998938434926631,0.9594811779416207,0.9792707493725614,0.9797770489141377,16662306,1769,703648,17514278,34882001
run_24,suffix_only,0.9580000000000001,0.9998938434926631,0.9594811779416207,0.9792707493725614,0.9797770489141377,16662306,1769,703648,17514278,34882001
run_25,suffix_only,0.9570000000000001,0.9998938434926631,0.9594811779416207,0.9792707493725614,0.9797770489141377,16662306,1769,703648,17514278,34882001
run_26,suffix_only,0.9570000000000001,0.9998938434926631,0.9594811779416207,0.9792707493725614,0.9797770489141377,16662306,1769,703648,17514278,34882001
run_27,suffix_only,0.9560000000000001,0.9998938434926631,0.9594811779416207,0.9792707493725614,0.9797770489141377,16662306,1769,703648,17514278,34882001
run_28,suffix_only,0.9570000000000001,0.9998938434926631,0.9594811779416207,0.9792707493725614,0.9797770489141377,16662306,1769,703648,17514278,34882001
run_29,suffix_only,0.9550000000000001,0.9998938434926631,0.9594811779416207,0.9792707493725614,0.9797770489141377,16662306,1769,703648,17514278,34882001
run_00,prefix_only,0.86,0.9988810971662054,0.9595127915229995,0.9788012467532833,0.9793084118081414,16662855,18665,703099,17497382,34882001
run_01,prefix_only,0.855,0.9988810971662054,0.9595127915229995,0.9788012467532833,0.9793084118081414,16662855,18665,703099,17497382,34882001
run_02,prefix_only,0.867,0.9988843305359769,0.9595126763551257,0.9788027391680627,0.9793099025483085,16662853,18611,703101,17497436,34882001
run_03,prefix_only,0.873,0.9988843305359769,0.9595126763551257,0.9788027391680627,0.9793099025483085,16662853,18611,703101,17497436,34882001
run_04,prefix_only,0.856,0.9988810971662054,0.9595127915229995,0.9788012467532833,0.9793084118081414,16662855,18665,703099,17497382,34882001
run_05,prefix_only,0.861,0.9988810971662054,0.9595127915229995,0.9788012467532833,0.9793084118081414,16662855,18665,703099,17497382,34882001
run_06,prefix_only,0.867,0.9988843305359769,0.9595126763551257,0.9788027391680627,0.9793099025483085,16662853,18611,703101,17497436,34882001
run_07,prefix_only,0.859,0.9988810971662054,0.9595127915229995,0.9788012467532833,0.9793084118081414,16662855,18665,703099,17497382,34882001
run_08,prefix_only,0.86,0.9988810971662054,0.9595127915229995,0.9788012467532833,0.9793084118081414,16662855,18665,703099,17497382,34882001
run_09,prefix_only,0.855,0.9988810971662054,0.9595127915229995,0.9788012467532833,0.9793084118081414,16662855,18665,703099,17497382,34882001
run_10,prefix_only,0.856,0.9988810971662054,0.9595127915229995,0.9788012467532833,0.9793084118081414,16662855,18665,703099,17497382,34882001
